letter;weight_I;relative_weight_I;weight_II;relative_weight_II;weight_III;relative_weight_III;weight_IV;relative_weight_IV;total_weight;relative_total_weight;center_y;center_x;relative_center_y;relative_center_x;inertia_y;inertia_x;relative_inertia_y;relative_inertia_x;profile_x;profile_y
ק;71.98823529411764;0.11518117647058823;71.23137254901961;0.11397019607843138;69.17647058823529;0.11068235294117647;16.48235294117647;0.02637176470588235;228.878431372549;0.0915513725490196;21.208758823932563;22.650109656637657;0.4241751764786513;0.45300219313275314;8608.297605090971;23434.28424505571;0.0013773276168145554;0.0037494854792089138;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.796078431372549;27.866666666666667;32.509803921568626;14.79607843137255;6.152941176470589;6.007843137254902;6.568627450980392;11.03921568627451;12.87843137254902;13.498039215686275;9.050980392156863;8.4;8.333333333333334;8.337254901960785;8.349019607843138;8.4;8.611764705882353;10.290196078431373;14.380392156862746;11.282352941176471;1.3294117647058823;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1686274509803922;2.5686274509803924;15.858823529411765;17.83529411764706;18.63137254901961;18.92549019607843;18.7921568627451;17.76078431372549;3.827450980392157;2.6588235294117646;2.3607843137254902;2.2705882352941176;3.1333333333333333;3.827450980392157;4.243137254901961;4.525490196078431;4.8313725490196076;5.317647058823529;5.662745098039216;5.690196078431373;5.662745098039216;5.513725490196078;5.141176470588236;4.929411764705883;4.984313725490196;5.145098039215687;5.341176470588235;5.5058823529411764;5.450980392156863;4.486274509803922;2.2549019607843137;2.2549019607843137;2.2549019607843137;2.2549019607843137;2.2549019607843137;2.2549019607843137;2.1137254901960785;1.184313725490196;0.0;0.0;0.0;0.0"
ר;62.780392156862746;0.10044862745098039;64.94509803921568;0.10391215686274509;0.0;0.0;35.86666666666667;0.05738666666666667;163.5921568627451;0.06543686274509804;20.439279892607153;26.36949851375971;0.4087855978521431;0.5273899702751942;6306.645293760423;7832.357631246957;0.0010090632470016675;0.001253177220999513;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6745098039215687;5.623529411764705;7.568627450980392;6.741176470588235;6.1607843137254905;6.011764705882353;6.0;6.0;6.0;6.0;6.0;5.992156862745098;5.976470588235294;6.0;6.03921568627451;6.219607843137255;6.6156862745098035;7.643137254901961;22.141176470588235;23.619607843137256;10.564705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1686274509803922;2.5764705882352943;14.949019607843137;17.705882352941178;18.615686274509805;18.95294117647059;18.890196078431373;17.88235294117647;5.235294117647059;3.615686274509804;2.9725490196078432;2.6549019607843136;2.5058823529411764;2.4235294117647057;2.364705882352941;2.3411764705882354;2.3215686274509806;2.3176470588235296;2.3176470588235296;2.3176470588235296;2.3176470588235296;2.3176470588235296;2.3176470588235296;2.3176470588235296;2.3176470588235296;2.3176470588235296;2.2980392156862743;2.066666666666667;1.192156862745098;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
ש;79.97647058823529;0.12796235294117647;71.39607843137254;0.11423372549019607;91.49019607843137;0.14638431372549018;49.98823529411764;0.07998117647058824;292.8509803921569;0.11714039215686275;25.46472140016337;23.322200945404877;0.5092944280032674;0.46644401890809756;17229.147149225933;26364.134543249926;0.0027566635438761493;0.004218261526919988;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6705882352941176;5.592156862745098;7.780392156862745;16.83921568627451;19.129411764705882;14.776470588235295;12.666666666666666;9.596078431372549;6.078431372549019;7.592156862745098;9.047058823529412;12.552941176470588;16.44313725490196;16.91764705882353;15.784313725490197;12.074509803921568;10.882352941176471;10.223529411764705;8.392156862745098;7.925490196078432;6.909803921568628;5.411764705882353;8.988235294117647;10.431372549019608;9.266666666666667;9.129411764705882;9.866666666666667;7.627450980392157;4.247058823529412;0.00784313725490196;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.5176470588235293;8.462745098039216;16.949019607843137;20.44705882352941;21.71764705882353;21.6;19.933333333333334;15.250980392156864;5.854901960784313;4.729411764705882;4.329411764705882;4.23921568627451;4.341176470588235;4.525490196078431;4.741176470588235;4.972549019607843;5.266666666666667;5.576470588235294;5.8392156862745095;6.1568627450980395;6.486274509803922;6.811764705882353;7.172549019607843;7.474509803921569;16.19607843137255;15.72156862745098;15.286274509803922;14.843137254901961;14.407843137254902;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
ת;67.29019607843138;0.10766431372549021;68.7764705882353;0.11004235294117648;60.95294117647059;0.09752470588235294;37.16470588235294;0.05946352941176471;234.18431372549017;0.09367372549019606;24.29601286065944;24.160205636585896;0.4859202572131888;0.4832041127317179;11224.699265391304;18289.193649655383;0.0017959518824626087;0.0029262709839448613;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.054901960784313725;3.0862745098039217;5.0;6.870588235294117;11.43921568627451;22.419607843137253;24.356862745098038;19.980392156862745;10.36078431372549;6.674509803921569;6.0;6.0;6.0;6.0;5.988235294117647;5.964705882352941;5.96078431372549;6.023529411764706;6.235294117647059;6.792156862745098;12.43921568627451;25.03529411764706;22.219607843137254;3.2823529411764705;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2117647058823529;2.635294117647059;14.929411764705883;17.694117647058825;18.576470588235296;18.898039215686275;18.80392156862745;17.71372549019608;6.56078431372549;5.243137254901961;4.76078431372549;4.541176470588235;4.4980392156862745;4.435294117647059;4.447058823529412;4.466666666666667;4.568627450980392;4.674509803921569;4.776470588235294;4.866666666666666;4.968627450980392;5.137254901960785;5.294117647058823;5.427450980392157;8.874509803921569;9.184313725490195;9.325490196078432;9.188235294117646;8.48235294117647;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
ﭏ;94.78039215686275;0.1516486274509804;61.32156862745098;0.09811450980392157;69.65098039215687;0.11144156862745098;74.83529411764705;0.11973647058823528;300.5882352941176;0.12023529411764705;23.898486627527724;23.741722113502938;0.47796973255055447;0.4748344422700588;13432.838716396147;27557.81617430899;0.0021492541946233836;0.0044092505878894385;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3333333333333333;4.019607843137255;9.086274509803921;15.784313725490197;20.694117647058825;19.992156862745098;20.694117647058825;18.4078431372549;16.16862745098039;14.309803921568628;9.945098039215686;7.007843137254902;6.988235294117647;7.011764705882353;7.035294117647059;8.337254901960785;13.03921568627451;15.992156862745098;18.67843137254902;16.28627450980392;14.313725490196079;13.047058823529412;12.294117647058824;8.913725490196079;1.2078431372549019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;1.192156862745098;3.180392156862745;4.756862745098039;4.7215686274509805;3.0431372549019606;1.4901960784313726;1.0901960784313725;1.1137254901960785;1.2509803921568627;1.423529411764706;2.831372549019608;4.76078431372549;11.36078431372549;14.713725490196078;16.16470588235294;16.733333333333334;16.49019607843137;14.537254901960784;7.290196078431372;6.631372549019608;6.658823529411765;6.674509803921569;7.992156862745098;9.650980392156862;9.372549019607844;8.670588235294117;8.301960784313726;8.333333333333334;8.674509803921568;9.031372549019608;9.35686274509804;9.678431372549019;9.996078431372549;10.125490196078431;9.96078431372549;9.43921568627451;8.615686274509804;8.035294117647059;7.243137254901961;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
